title,author_name,category,total_sold,total_revenue,avg_rating,record_count
Mưa Đỏ,Chu Lai,VĂN HỌC,50000,9225000000.0,5.0,5
Búp Sen Xanh - Bìa Cứng - Tặng Kèm Obi + Postcard Hành Trình Cứu Nước - Độc Quyền Fahasa,Sơn Tùng,THIẾU NHI,50000,500000000.0,5.0,5
Bác Hồ Viết Tuyên Ngôn Độc Lập - Ấn Bản Kỉ Niệm 80 Năm Quốc Khánh - Tặng Kèm Postcard - Độc Quyền Fahasa,Kiều Mai Sơn,LỊCH SỬ - ĐỊA LÝ - TÔN...,295,15487500.0,0.0,5
Bộ Ngữ Văn 12 - Tập 2 (Chân Trời) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,190,3610000.0,0.0,5
Bộ Toán 11 - Tập 2 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,165,2640000.0,0.0,5
Global Success - Tiếng Anh 12 - Sách Học Sinh (2024),"Hoàng Văn Vân, Vũ Hải Hà, Chu Quang Bình, Hoàng Thị Hồng Hải, Nguyễn Thị Kim Phượng",GIÁO KHOA - THAM KHẢO,160,10752000.0,0.0,5
Bộ Ngữ Văn 11 - Tập 1 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,155,3100000.0,0.0,5
Bộ Ngữ Văn 11 - Tập 2 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,145,2320000.0,0.0,5
Bộ Lịch Sử 11 (Chân Trời Sáng Tạo) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,145,2175000.0,0.0,5
Bộ Ngữ Văn 12 - Tập 1 (Kết Nối) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,115,2530000.0,0.0,5
Vật Lí 12 (Kết Nối) (Chuẩn),Nhiều Tác Giả,GIÁO KHOA - THAM KHẢO,115,1955000.0,0.0,5
Bộ Chú Thuật Hồi Chiến - Tập 25 - Bản Đặc Biệt - Tặng Kèm Bìa PVC + Set Card + Hộp Đựng Card,Gege Akutami,MANGA - COMIC,60,5010000.0,0.0,5
